term_id,term_str,n,num,pos_max,stop,p_stem
0,0,10,1,CD,0,0
1,000,4,1,CD,0,000
2,008,2,1,CD,0,008
3,010,4,1,CD,0,010
4,011,2,1,CD,0,011
5,012,1,1,CD,0,012
6,013,1,1,CD,0,013
7,014,1,1,CD,0,014
8,015,2,1,CD,0,015
9,017,1,1,CD,0,017
10,02,4,1,CD,0,02
11,029,2,1,CD,0,029
12,03,6,1,CD,0,03
13,04,2,1,CD,0,04
14,05,3,1,CD,0,05
15,059,2,1,CD,0,059
16,06,4,1,CD,0,06
17,07,6,1,CD,0,07
18,08,6,1,CD,0,08
19,09,2,1,NN,0,09
20,092,1,1,CD,0,092
21,1,234,1,CD,0,1
22,10,74,1,CD,0,10
23,100,61,1,CD,0,100
24,1000,5,1,CD,0,1000
25,10000,1,1,CD,0,10000
26,100000,3,1,VB,0,100000
27,100km,2,1,CD,0,100km
28,100s,6,1,CD,0,100
29,100th,2,1,CD,0,100th
30,100yearwar,1,1,CD,0,100yearwar
31,101,5,1,CD,0,101
32,1010,77,1,CD,0,1010
33,1011,1,1,CD,0,1011
34,1012,3,1,CD,0,1012
35,1013,4,1,CD,0,1013
36,1014,1,1,CD,0,1014
37,1015,1,1,CD,0,1015
38,1016,3,1,CD,0,1016
39,1017,2,1,CD,0,1017
40,1018,2,1,CD,0,1018
41,1019,1,1,CD,0,1019
42,102,3,1,CD,0,102
43,1021,1,1,CD,0,1021
44,1022,1,1,CD,0,1022
45,1024,1,1,CD,0,1024
46,1025,1,1,CD,0,1025
47,1026,1,1,CD,0,1026
48,1029,1,1,CD,0,1029
49,103,2,1,CD,0,103
50,1030,1,1,CD,0,1030
51,10304,2,1,CD,0,10304
52,1031,1,1,CD,0,1031
53,104,4,1,CD,0,104
54,105,8,1,CD,0,105
55,106,5,1,CD,0,106
56,107,2,1,CD,0,107
57,108,2,1,CD,0,108
58,109,2,1,CD,0,109
59,10k,2,1,CD,0,10k
60,10piece,4,1,JJ,0,10piec
61,10s,1,1,CD,0,10
62,11,25,1,CD,0,11
63,110,6,1,CD,0,110
64,111,6,1,CD,0,111
65,1111,54,1,CD,0,1111
66,111123oclock,1,1,JJ,0,111123oclock
67,1114,1,1,CD,0,1114
68,112,10,1,CD,0,112
69,113,1,1,CD,0,113
70,1130,6,1,CD,0,1130
71,1132,1,1,CD,0,1132
72,114,1,1,CD,0,114
73,115,1,1,CD,0,115
74,116,3,1,CD,0,116
75,117,1,1,CD,0,117
76,118,2,1,CD,0,118
77,119,3,1,CD,0,119
78,11s,1,1,CD,0,11
79,11th,1,1,CD,0,11th
80,12,53,1,CD,0,12
81,120,5,1,CD,0,120
82,121,1,1,CD,0,121
83,1212,57,1,CD,0,1212
84,1213,2,1,CD,0,1213
85,1215,2,1,CD,0,1215
86,122,1,1,CD,0,122
87,123,12,1,JJ,0,123
88,1230,1,1,CD,0,1230
89,1234,7,1,JJ,0,1234
90,12345678,6,1,JJ,0,12345678
91,124,1,1,CD,0,124
92,125,5,1,CD,0,125
93,126,1,1,CD,0,126
94,127,7,1,CD,0,127
95,128,1,1,CD,0,128
96,129,2,1,CD,0,129
97,12pack,2,1,CD,0,12pack
98,12s,1,1,CD,0,12
99,12th,1,1,CD,0,12th
100,13,31,1,CD,0,13
101,130,3,1,CD,0,130
102,1300,1,1,CD,0,1300
103,131,1,1,CD,0,131
104,1313,42,1,CD,0,1313
105,1314,2,1,CD,0,1314
106,1315,1,1,CD,0,1315
107,1316,1,1,CD,0,1316
108,1317,1,1,CD,0,1317
109,132,1,1,CD,0,132
110,133,1,1,CD,0,133
111,134,1,1,CD,0,134
112,1349,2,1,CD,0,1349
113,135,2,1,CD,0,135
114,136,1,1,CD,0,136
115,137,5,1,CD,0,137
116,138,1,1,CD,0,138
117,139,1,1,CD,0,139
118,13alloonz,2,1,CD,0,13alloonz
119,13lack,2,1,CD,0,13lack
120,13th,1,1,CD,0,13th
121,14,27,1,CD,0,14
122,140,1,1,CD,0,140
123,141,1,1,CD,0,141
124,1414,31,1,CD,0,1414
125,1415,1,1,CD,0,1415
126,142,1,1,CD,0,142
127,143,1,1,CD,0,143
128,144,1,1,CD,0,144
129,145,1,1,CD,0,145
130,146,1,1,CD,0,146
131,147,1,1,CD,0,147
132,148,1,1,CD,0,148
133,149,1,1,CD,0,149
134,15,34,1,CD,0,15
135,150,2,1,CD,0,150
136,1500,2,1,CD,0,1500
137,151,4,1,CD,0,151
138,1515,18,1,CD,0,1515
139,1516,2,1,CD,0,1516
140,152,1,1,CD,0,152
141,153,1,1,CD,0,153
142,154,1,1,CD,0,154
143,155,1,1,CD,0,155
144,156,1,1,CD,0,156
145,157,1,1,CD,0,157
146,158,1,1,CD,0,158
147,159,2,1,CD,0,159
148,15s,1,1,CD,0,15
149,15th,2,1,CD,0,15th
150,16,27,1,CD,0,16
151,160,1,1,CD,0,160
152,161,1,1,CD,0,161
153,1616,18,1,CD,0,1616
154,162,1,1,CD,0,162
155,163,1,1,CD,0,163
156,164,1,1,CD,0,164
157,165,1,1,CD,0,165
158,166,1,1,CD,0,166
159,167,1,1,CD,0,167
160,168,1,1,CD,0,168
161,169,1,1,CD,0,169
162,16ooh,1,1,CD,0,16ooh
163,16s,2,1,CD,0,16
164,16th,1,1,CD,0,16th
165,16volt,2,1,CD,0,16volt
166,16x,2,1,NN,0,16x
167,16yrold,1,1,CD,0,16yrold
168,17,40,1,CD,0,17
169,170,1,1,CD,0,170
170,171,1,1,CD,0,171
171,1717,7,1,CD,0,1717
172,172,1,1,CD,0,172
173,173,1,1,CD,0,173
174,1738,1,1,CD,0,1738
175,174,1,1,CD,0,174
176,175,2,1,CD,0,175
177,1755,1,1,CD,0,1755
178,176,1,1,CD,0,176
179,177,1,1,CD,0,177
180,178,1,1,CD,0,178
181,179,1,1,CD,0,179
182,17again,2,1,CD,0,17again
183,17th,2,1,CD,0,17th
184,18,29,1,CD,0,18
185,180,1,1,CD,0,180
186,1800,1,1,JJ,0,1800
187,18002738255,1,1,JJ,0,18002738255
188,1800430,2,1,JJ,0,1800430
189,1800seeya,1,1,CD,0,1800seeya
190,181,1,1,CD,0,181
191,1812,1,1,CD,0,1812
192,1818,5,1,CD,0,1818
193,182,2,1,CD,0,182
194,1821,1,1,CD,0,1821
195,183,1,1,CD,0,183
196,184,1,1,CD,0,184
197,185,2,1,CD,0,185
198,186,1,1,CD,0,186
199,187,3,1,CD,0,187
200,188,1,1,CD,0,188
201,189,1,1,CD,0,189
202,18k,2,1,CD,0,18k
203,18s,2,1,CD,0,18
204,18th,2,1,CD,0,18th
205,18wheeler,4,1,JJ,0,18wheeler
206,19,20,1,CD,0,19
207,190,1,1,CD,0,190
208,1900mixalot,1,1,JJ,0,1900mixalot
209,191,1,1,CD,0,191
210,1919,4,1,CD,0,1919
211,192,1,1,CD,0,192
212,1927,1,1,CD,0,1927
213,1929,1,1,CD,0,1929
214,193,1,1,CD,0,193
215,194,1,1,CD,0,194
216,195,1,1,CD,0,195
217,1950s,2,1,CD,0,1950
218,1951,1,1,CD,0,1951
219,196,1,1,CD,0,196
220,1962,1,1,CD,0,1962
221,1963,2,1,CD,0,1963
222,1964,1,1,CD,0,1964
223,1965,3,1,NNS,0,1965
224,1966,6,1,CD,0,1966
225,1968,1,1,CD,0,1968
226,1969,2,1,CD,0,1969
227,197,1,1,CD,0,197
228,1970something,3,1,JJ,0,1970someth
229,1971,4,1,NN,0,1971
230,1972,1,1,CD,0,1972
231,1974,4,1,NN,0,1974
232,1975,6,1,CD,0,1975
233,1976,2,1,NN,0,1976
234,1977,1,1,CD,0,1977
235,1978,2,1,VBP,0,1978
236,197886,1,1,JJ,0,197886
237,1979,6,1,CD,0,1979
238,198,1,1,CD,0,198
239,1980,2,1,CD,0,1980
240,1980s,1,1,CD,0,1980
241,1980something,4,1,VBG,0,1980someth
242,1981,3,1,VBP,0,1981
243,1982,6,1,NN,0,1982
244,1983,1,1,CD,0,1983
245,1984,11,1,NN,0,1984
246,1985,2,1,CD,0,1985
247,1986,7,1,CD,0,1986
248,1987,8,1,NNP,0,1987
249,1988,12,1,NN,0,1988
250,19882003,2,1,JJ,0,19882003
251,1989,10,1,CD,0,1989
252,199,1,1,CD,0,199
253,1990,11,1,NN,0,1990
254,1991,22,1,NN,0,1991
255,1992,22,1,NN,0,1992
256,1993,40,1,NN,0,1993
257,19931994,2,1,CD,0,19931994
258,1994,35,1,NN,0,1994
259,1995,40,1,NN,0,1995
260,1996,44,1,NN,0,1996
261,19962004,2,1,JJ,0,19962004
262,1997,54,1,NN,0,1997
263,1998,63,1,NN,0,1998
264,1999,74,1,NN,0,1999
265,19991,1,1,CD,0,19991
266,19992005,2,1,NN,0,19992005
267,199quad,4,1,CD,0,199quad
268,19something,1,1,VBG,0,19someth
269,19th,1,1,CD,0,19th
270,1d,2,1,CD,0,1d
271,1s,1,1,CD,0,1s
272,1st,37,1,CD,0,1st
273,1t,2,1,CD,0,1t
274,1timebomb,1,1,CD,0,1timebomb
275,1train,2,1,CD,0,1train
276,2,399,1,CD,0,2
277,20,49,1,CD,0,20
278,200,9,1,CD,0,200
279,2000,45,1,NN,0,2000
280,2000s,4,1,CD,0,2000
281,2000whatever,1,1,JJ,0,2000whatev
282,2001,49,1,NN,0,2001
283,2002,37,1,NN,0,2002
284,2003,52,1,NN,0,2003
285,2004,53,1,NN,0,2004
286,2005,56,1,NN,0,2005
287,2006,24,1,NN,0,2006
288,2007,36,1,NN,0,2007
289,2008,27,1,NN,0,2008
290,2009,35,1,NN,0,2009
291,201,1,1,CD,0,201
292,2010,21,1,NN,0,2010
293,2011,22,1,NN,0,2011
294,2012,22,1,NN,0,2012
